Date : 2025-03-24 21:28:39
Directory : d:\information\IOT\learn\C\opensource\redis
Total : 1436 files,  250452 codes, 56360 comments, 40593 blanks, all 347405 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\internalsecret.c                                        | C            |        119 |         10 |         26 |        155 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\keyspace_events.c                                       | C            |        316 |         26 |         78 |        420 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\keyspecs.c                                              | C            |        197 |         14 |         26 |        237 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\list.c                                                  | C            |        202 |         32 |         19 |        253 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\mallocsize.c                                            | C            |        194 |          5 |         39 |        238 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\misc.c                                                  | C            |        536 |         11 |         81 |        628 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\moduleauthtwo.c                                         | C            |         35 |          3 |          5 |         43 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\moduleconfigs.c                                         | C            |        245 |         11 |         32 |        288 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\moduleconfigstwo.c                                      | C            |         31 |          3 |          5 |         39 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\postnotifications.c                                     | C            |        207 |         28 |         54 |        289 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\propagate.c                                             | C            |        288 |         28 |         87 |        403 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\publish.c                                               | C            |         45 |          0 |         13 |         58 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\rdbloadsave.c                                           | C            |        117 |          8 |         38 |        163 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\reply.c                                                 | C            |        160 |          5 |         50 |        215 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\scan.c                                                  | C            |         93 |          5 |         24 |        122 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\stream.c                                                | C            |        199 |         37 |         23 |        259 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\subcommands.c                                           | C            |         83 |          7 |         23 |        113 |
