Date : 2025-03-24 21:28:34
Directory : d:\information\IOT\learn\C\opensource\zlog
Total : 117 files,  8379 codes, 1646 comments, 1880 blanks, all 11905 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\information\IOT\learn\C\opensource\zlog\test\test_hello.c               | C            |         21 |         14 |          8 |         43 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_hello.conf            | Properties   |          7 |          0 |          1 |          8 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_hex.c                 | C            |         80 |         14 |         26 |        120 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_hex.conf              | Properties   |          2 |          0 |          1 |          3 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_init.2.conf           | Properties   |         10 |          0 |          3 |         13 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_init.c                | C            |         42 |         14 |          8 |         64 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_init.conf             | Properties   |          7 |          0 |          2 |          9 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_leak.2.conf           | Properties   |          7 |          0 |          2 |          9 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_leak.c                | C            |         41 |         15 |          8 |         64 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_leak.conf             | Properties   |         10 |          0 |          3 |         13 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_level.c               | C            |         23 |         14 |          8 |         45 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_level.conf            | Properties   |          6 |          0 |          1 |          7 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_level.h               | C++          |         10 |         19 |          6 |         35 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_longlog.c             | C            |         49 |         14 |         11 |         74 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_longlog.conf          | Properties   |          8 |          2 |          3 |         13 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_mdc.c                 | C            |         29 |         14 |         14 |         57 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_mdc.conf              | Properties   |          4 |          0 |          1 |          5 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_multithread.c         | C            |        157 |         23 |         36 |        216 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_multithread.conf      | Properties   |         14 |          0 |          1 |         15 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_pipe.c                | C            |         21 |         14 |          6 |         41 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_pipe.conf             | Properties   |          4 |          0 |          1 |          5 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_press_syslog.c        | C            |         41 |         14 |         15 |         70 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_press_write.c         | C            |         57 |         18 |         20 |         95 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_press_write2.c        | C            |         59 |         17 |         20 |         96 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_press_zlog.c          | C            |         65 |         14 |         18 |         97 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_press_zlog.conf       | Properties   |          4 |          7 |          4 |         15 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_press_zlog2.c         | C            |         64 |         14 |         19 |         97 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_press_zlog2.conf      | Properties   |         13 |          0 |          2 |         15 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_profile.c             | C            |         15 |         14 |          8 |         37 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_profile.conf          | Properties   |          4 |          0 |          1 |          5 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_prompt.c              | C            |         33 |         15 |         10 |         58 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_prompt.conf           | Properties   |         10 |          0 |          3 |         13 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_record.c              | C            |         27 |         14 |          8 |         49 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_record.conf           | Properties   |          4 |          0 |          1 |          5 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_syslog.c              | C            |         22 |         14 |          8 |         44 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_syslog.conf           | Properties   |         13 |          0 |          4 |         17 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_tmp.c                 | C            |         26 |         15 |         11 |         52 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_tmp.conf              | Properties   |         11 |          0 |          3 |         14 |
| d:\information\IOT\learn\C\opensource\zlog\test\val.sh                     | Shell Script |          4 |          0 |          3 |          7 |
| d:\information\IOT\learn\C\opensource\zlog\tools\mk_targz.sh               | Shell Script |         17 |          1 |          4 |         22 |
| Total                                                                      |              |      8,379 |      1,646 |      1,880 |     11,905 |
+----------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
